date, pm25, pm10, no2
2024/2/19, 14, 7, 26
2024/2/20, 15, 8, 28
2024/2/21, 22, 7, 19
2024/2/22, 33, 9, 25
2024/2/23, 36, 6, 4
2024/2/24, 16, 6, 4
2024/2/25, 14, 7, 8
2024/2/26, 17, 6, 7
2024/2/27, 10, 27, 6
2024/2/28, 13, 8, 11
2024/2/29, 15, 9, 7
2024/3/1, 21, 8, 8
2024/3/2, 19, 7, 11
2024/3/3, 19, 9, 28
2024/3/4, 22, 9, 17
2024/3/5, 21, 8, 10
2024/3/6, 20, , 
2024/3/8, 29, 9, 8
2024/3/9, 25, 5, 7
2024/3/10, 17, 8, 15
2024/3/11, 22, 7, 10
2024/3/12, 15, 72, 12
2024/3/13, 38, 70, 17
2024/3/14, 53, 8, 8
2024/3/15, 22, 6, 4
2024/3/16, 21, 4, 5
2024/3/17, 16, 6, 5
2024/3/18, 16, 7, 17
2024/3/19, 21, 7, 17
2024/3/20, 19, 13, 13
2024/3/21, 32, 20, 15
2024/3/22, 27, 33, 8
2024/3/23, 35, 33, 6
2024/3/24, 37, 5, 11
2024/3/25, 17, 14, 9
2024/3/26, 24, 26, 9
2024/3/27, 32, , 
2023/10/1, 18, 9, 10
2023/10/2, 13, 22, 14
2023/10/3, 20, 7, 9
2023/10/4, 18, 6, 9
2023/10/5, 18, 4, 8
2023/10/6, 14, 6, 8
2023/10/7, 22, 5, 7
2023/10/8, 17, 9, 11
2023/10/9, 19, 50, 16
2023/10/10, 83, 54, 8
2023/10/11, 138, 66, 10
2023/10/12, 80, 14, 11
2023/10/13, 19, 38, 10
2023/10/14, 20, 10, 2
2023/10/15, 15, 18, 5
2023/10/16, 26, 70, 18
2023/10/17, 34, 20, 18
2023/10/18, 29, 8, 12
2023/10/19, 19, 9, 5
2023/10/20, 16, 9, 9
2023/10/21, 20, 6, 10
2023/10/22, 17, 44, 9
2023/10/23, 22, 119, 19
2023/10/24, 36, 23, 19
2023/10/25, 23, 5, 6
2023/10/26, 15, 11, 14
2023/10/27, 20, 22, 9
2023/10/28, 20, 12, 10
2023/10/29, 20, 9, 11
2023/10/30, 19, 7, 14
2023/10/31, 25, 7, 15
2023/11/1, 22, 7, 26
2023/11/2, 24, 9, 25
2023/11/3, 32, 7, 19
2023/11/4, 21, 7, 12
2023/11/5, 20, 9, 16
2023/11/6, 25, 7, 10
2023/11/7, 21, 7, 19
2023/11/8, 25, 7, 14
2023/11/9, 19, 7, 14
2023/11/10, 24, 9, 19
2023/11/11, 28, 5, 10
2023/11/12, 19, 10, 23
2023/11/13, 32, 6, 15
2023/11/14, 21, 7, 17
2023/11/15, 24, 5, 8
2023/11/16, 14, 8, 13
2023/11/17, 23, 5, 10
2023/11/18, 18, 5, 8
2023/11/19, 18, 7, 15
2023/11/20, 25, 4, 5
2023/11/21, 12, 8, 4
2023/11/22, 10, 7, 11
2023/11/23, 21, 10, 18
2023/11/24, 36, 8, 13
2023/11/25, 27, 8, 19
2023/11/26, 29, 10, 21
2023/11/27, 36, 11, 21
2023/11/28, 33, 6, 13
2023/11/29, 17, 7, 12
2023/11/30, 21, 5, 13
2023/12/1, 18, 7, 10
2023/12/2, 24, 12, 17
2023/12/3, 38, 5, 13
2023/12/4, 19, 9, 21
2023/12/5, 29, 6, 6
2023/12/6, 18, 8, 3
2023/12/7, 20, 7, 4
2023/12/8, 17, 9, 3
2023/12/9, 20, 10, 3
2023/12/10, 20, 9, 6
2023/12/11, 25, 10, 20
2023/12/12, 30, 5, 8
2023/12/13, 17, 10, 1
2023/12/14, 23, 9, 
2023/12/15, 19, 4, 
2023/12/16, 13, 8, 
2023/12/17, 22, 6, 
2023/12/18, 17, 6, 
2023/12/19, 18, 5, 
2023/12/20, 17, 8, 1
2023/12/21, 22, 12, 1
2023/12/22, 34, 13, 
2023/12/23, 40, 6, 
2023/12/24, 20, 10, 
2023/12/25, 36, 5, 
2023/12/26, 17, 6, 
2023/12/27, 21, 5, 1
2023/12/28, 19, 9, 
2023/12/29, 29, 11, 
2023/12/30, 30, 8, 
2023/12/31, 26, 14, 
2023/7/1, 23, 10, 1
2023/7/2, 12, 9, 4
2023/7/3, 15, 23, 10
2023/7/4, 32, 19, 8
2023/7/5, 30, 13, 4
2023/7/6, 21, 22, 6
2023/7/7, 31, 15, 4
2023/7/8, 33, 8, 2
2023/7/9, 19, 14, 7
2023/7/10, 26, 25, 9
2023/7/11, 39, 26, 12
2023/7/12, 36, 19, 11
2023/7/13, 35, 14, 8
2023/7/14, 27, 9, 7
2023/7/15, 23, 8, 7
2023/7/16, 19, 9, 8
2023/7/17, 17, 7, 8
2023/7/18, 19, 7, 5
2023/7/19, 15, 9, 3
2023/7/20, 19, 11, 8
2023/7/21, 24, 11, 8
2023/7/22, 24, 8, 5
2023/7/23, 19, 13, 10
2023/7/24, 28, 12, 10
2023/7/25, 28, 14, 8
2023/7/26, 28, 17, 8
2023/7/27, 29, 7, 4
2023/7/28, 16, 5, 1
2023/7/29, 12, 7, 1
2023/7/30, 17, 17, 9
2023/7/31, 29, 15, 11
2023/8/1, 26, 13, 13
2023/8/2, 24, 12, 9
2023/8/3, 23, 13, 8
2023/8/4, 24, 9, 4
2023/8/5, 19, 11, 6
2023/8/6, 21, 15, 13
2023/8/7, 24, 21, 14
2023/8/8, 43, 16, 12
2023/8/9, 33, 15, 11
2023/8/10, 26, 8, 5
2023/8/11, 20, 10, 9
2023/8/12, 22, 13, 9
2023/8/13, 26, 14, 10
2023/8/14, 27, 9, 8
2023/8/15, 22, 7, 4
2023/8/16, 14, 10, 6
2023/8/17, 19, 9, 6
2023/8/18, 18, 7, 4
2023/8/19, 14, 9, 6
2023/8/20, 17, 22, 16
2023/8/21, 33, 12, 16
2023/8/22, 29, 14, 8
2023/8/23, 22, 12, 7
2023/8/24, 20, 11, 9
2023/8/25, 21, 8, 5
2023/8/26, 21, 7, 5
2023/8/27, 16, 16, 13
2023/8/28, 23, 11, 16
2023/8/29, 30, 11, 7
2023/8/30, 22, 12, 10
2023/8/31, 22, 13, 8
2023/9/1, 23, 8, 7
2023/9/2, 17, 8, 7
2023/9/3, 16, 9, 6
2023/9/4, 27, 9, 6
2023/9/5, 23, 7, 6
2023/9/6, 18, 10, 4
2023/9/7, 16, 8, 4
2023/9/8, 14, 7, 3
2023/9/9, 18, 11, 2
2023/9/10, 23, 7, 6
2023/9/11, 11, 8, 7
2023/9/12, 18, 7, 8
2023/9/13, 17, 6, 7
2023/9/14, 16, 16, 13
2023/9/15, 20, 9, 8
2023/9/16, 18, 5, 6
2023/9/17, 16, 4, 6
2023/9/18, 11, 10, 1
2023/9/19, 11, 14, 2
2023/9/20, 20, 14, 11
2023/9/21, 22, 10, 11
2023/9/22, 14, 5, 7
2023/9/23, 15, 8, 10
2023/9/24, 17, 8, 10
2023/9/25, 12, 6, 7
2023/9/26, 17, 29, 13
2023/9/27, 39, 20, 12
2023/9/28, 23, 21, 19
2023/9/29, 28, 8, 10
2023/9/30, 21, 7, 5
2023/4/1, 25, 9, 8
2023/4/2, 23, 8, 6
2023/4/3, 17, 6, 10
2023/4/4, 18, 8, 13
2023/4/5, 20, 6, 10
2023/4/6, 17, 9, 11
2023/4/7, 20, 5, 9
2023/4/8, 21, 6, 10
2023/4/9, 17, 7, 11
2023/4/10, 16, 16, 15
2023/4/11, 20, 41, 17
2023/4/12, 31, 32, 15
2023/4/13, 32, 45, 20
2023/4/14, 33, 58, 11
2023/4/15, 36, 19, 8
2023/4/16, 32, 7, 7
2023/4/17, 22, 13, 3
2023/4/18, 20, 6, 8
2023/4/19, 18, 4, 4
2023/4/20, 14, 5, 8
2023/4/21, 12, 7, 4
2023/4/22, 17, 6, 3
2023/4/23, 15, 19, 8
2023/4/24, 20, 62, 10
2023/4/25, 27, 35, 8
2023/4/26, 22, 49, 24
2023/4/27, 41, 41, 11
2023/4/28, 35, 9, 5
2023/4/29, 18, 17, 6
2023/4/30, 20, 27, 6
2023/5/1, 23, 26, 3
2023/5/2, 24, 36, 4
2023/5/3, 26, 10, 8
2023/5/4, 22, 16, 7
2023/5/5, 19, 37, 5
2023/5/6, 23, 33, 2
2023/5/7, 24, 6, 6
2023/5/8, 21, 41, 11
2023/5/9, 33, 27, 14
2023/5/10, 31, 12, 8
2023/5/11, 22, 14, 7
2023/5/12, 20, 23, 2
2023/5/13, 18, 9, 4
2023/5/14, 17, 50, 14
2023/5/15, 36, 20, 9
2023/5/16, 26, 8, 4
2023/5/17, 20, 21, 3
2023/5/18, 25, 14, 3
2023/5/19, 21, 13, 
2023/5/20, 23, 9, 1
2023/5/21, 21, 36, 9
2023/5/22, 25, 14, 13
2023/5/23, 28, 19, 7
2023/5/24, 18, 17, 4
2023/5/25, 19, 6, 4
2023/5/26, 19, 13, 2
2023/5/27, 19, 6, 6
2023/5/28, 18, 9, 2
2023/5/29, 20, 6, 5
2023/5/30, 13, 8, 5
2023/5/31, 20, 12, 6
2023/6/1, 22, 8, 5
2023/6/2, 16, 9, 4
2023/6/3, 17, 6, 4
2023/6/4, 16, 7, 7
2023/6/5, 19, 8, 8
2023/6/6, 21, 17, 5
2023/6/7, 17, 17, 4
2023/6/8, 21, 13, 5
2023/6/9, 18, 11, 9
2023/6/10, 20, 21, 7
2023/6/11, 30, 20, 4
2023/6/12, 25, 15, 4
2023/6/13, 24, 19, 2
2023/6/14, 30, 15, 7
2023/6/15, 26, 22, 8
2023/6/16, 28, 13, 8
2023/6/17, 25, 22, 8
2023/6/18, 30, 53, 16
2023/6/19, 48, 49, 17
2023/6/20, 54, 48, 16
2023/6/21, 56, 42, 17
2023/6/22, 51, 17, 9
2023/6/23, 28, 11, 11
2023/6/24, 29, 6, 3
2023/6/25, 15, 12, 6
2023/6/26, 19, 25, 10
2023/6/27, 35, 23, 9
2023/6/28, 34, 22, 11
2023/6/29, 30, 18, 8
2023/6/30, 26, 31, 3
2023/1/2, 23, 9, 18
2023/1/3, 27, 10, 27
2023/1/4, 32, 14, 28
2023/1/5, 36, 14, 30
2023/1/6, 36, 8, 10
2023/1/7, 17, 9, 3
2023/1/8, 15, 9, 4
2023/1/9, 21, 12, 20
2023/1/10, 35, 9, 22
2023/1/11, 29, 6, 12
2023/1/12, 22, 5, 8
2023/1/13, 20, 6, 4
2023/1/14, 17, 8, 20
2023/1/15, 22, 5, 14
2023/1/16, 18, 7, 13
2023/1/17, 27, 5, 17
2023/1/18, 17, 6, 3
2023/1/19, 18, 9, 
2023/1/20, 26, 7, 
2023/1/21, 19, 6, 
2023/1/22, 15, 10, 
2023/1/23, 21, 8, 
2023/1/24, 16, 8, 
2023/1/25, 23, 7, 
2023/1/26, 22, 3, 
2023/1/27, 9, 7, 
2023/1/28, 17, 8, 
2023/1/29, 19, 10, 
2023/1/30, 34, 6, 
2023/1/31, 24, 10, 
2023/2/1, 35, 6, 
2023/2/2, 23, 11, 
2023/2/3, 34, 4, 
2023/2/4, 13, 10, 
2023/2/5, 24, 7, 
2023/2/6, 14, 11, 
2023/2/7, 23, 11, 
2023/2/8, 18, 6, 
2023/2/9, 18, 6, 
2023/2/10, 19, 9, 
2023/2/11, 26, 10, 
2023/2/12, 24, 13, 
2023/2/13, 34, 11, 
2023/2/14, 28, 7, 
2023/2/15, 18, 8, 
2023/2/16, 16, 17, 
2023/2/17, 29, 45, 
2023/2/18, 33, 28, 
2023/2/19, 29, 7, 
2023/2/20, 24, 11, 
2023/2/21, 41, 12, 
2023/2/22, 31, 6, 
2023/2/23, 16, 11, 17
2023/2/24, 25, 8, 10
2023/2/25, 25, 10, 5
2023/2/26, 23, 16, 2
2023/2/27, 28, 9, 10
2023/2/28, 23, 8, 10
2023/3/1, 17, 5, 11
2023/3/2, 17, 9, 9
2023/3/3, 10, 8, 10
2023/3/4, 14, 7, 6
2023/3/5, 10, 7, 8
2023/3/6, 14, 11, 18
2023/3/7, 20, 8, 10
2023/3/8, 15, 5, 6
2023/3/9, 13, 9, 9
2023/3/10, 18, 6, 5
2023/3/11, 15, 5, 5
2023/3/12, 16, 8, 17
2023/3/13, 19, 7, 12
2023/3/14, 20, 8, 11
2023/3/15, 25, 7, 11
2023/3/16, 27, 9, 17
2023/3/17, 23, 6, 10
2023/3/18, 19, 6, 14
2023/3/19, 19, 6, 13
2023/3/20, 20, 6, 8
2023/3/21, 18, 7, 13
2023/3/22, 22, 8, 11
2023/3/23, 19, 8, 7
2023/3/24, 22, 9, 9
2023/3/25, 24, 11, 12
2023/3/26, 27, 10, 17
2023/3/27, 27, 9, 16
2023/3/28, 22, 10, 15
2023/3/29, 22, 5, 3
2023/3/30, 14, 12, 3
2023/3/31, 27, 9, 5
2022/10/14, 38, 41, 21
2022/10/15, 33, 14, 19
2022/10/16, 26, 7, 17
2022/10/17, 21, 6, 9
2022/10/18, 19, 7, 13
2022/10/19, 17, 8, 7
2022/10/20, 21, 7, 14
2022/10/21, 16, 5, 14
2022/10/22, 12, 11, 5
2022/10/23, 28, 10, 5
2022/10/24, 26, 10, 17
2022/10/25, 28, 7, 25
2022/10/26, 21, 8, 13
2022/10/27, 23, 5, 19
2022/10/28, 15, 6, 10
2022/10/29, 19, 10, 6
2022/10/30, 25, 7, 9
2022/10/31, 18, 5, 11
2022/11/1, 18, 34, 8
2022/11/2, 26, 31, 15
2022/11/3, 30, 46, 17
2022/11/4, 35, 11, 14
2022/11/5, 26, 17, 16
2022/11/6, 20, 8, 8
2022/11/7, 19, 11, 12
2022/11/8, 33, 13, 23
2022/11/9, 19, 31, 17
2022/11/10, 20, 14, 16
2022/11/11, 21, 9, 13
2022/11/12, 36, 5, 18
2022/11/13, 20, 8, 9
2022/11/14, 22, 7, 17
2022/11/15, 20, 8, 13
2022/11/16, 28, 10, 23
2022/11/17, 36, 12, 28
2022/11/18, 40, 11, 33
2022/11/19, 35, 11, 25
2022/11/20, 41, 11, 21
2022/11/21, 41, 10, 29
2022/11/22, 39, 15, 30
2022/11/23, 32, 11, 27
2022/11/24, 20, 14, 16
2022/11/25, 30, 6, 17
2022/11/26, 23, 6, 13
2022/11/27, 21, 7, 10
2022/11/28, 25, 6, 17
2022/11/29, 21, 5, 12
2022/11/30, 19, 7, 5
2022/12/1, 26, 6, 13
2022/12/2, 23, 10, 15
2022/12/3, 18, 17, 5
2022/12/4, 14, 4, 2
2022/12/5, 11, 7, 7
2022/12/6, 18, 11, 9
2022/12/7, 35, 5, 24
2022/12/8, 18, 6, 5
2022/12/9, 18, 14, 3
2022/12/10, 37, 12, 15
2022/12/11, 43, 5, 17
2022/12/12, 17, 10, 7
2022/12/13, 33, 6, 19
2022/12/14, 19, 7, 11
2022/12/15, 21, 6, 11
2022/12/16, 19, 7, 11
2022/12/17, 20, 10, 11
2022/12/18, 28, 7, 17
2022/12/19, 23, 8, 12
2022/12/20, 23, 7, 23
2022/12/21, 23, 5, 20
2022/12/22, 17, 7, 8
2022/12/23, 25, 5, 16
2022/12/24, 20, 5, 5
2022/12/25, 19, 6, 5
2022/12/26, 22, 5, 13
2022/12/27, 16, 7, 11
2022/12/28, 20, 7, 8
2022/12/29, 17, 7, 9
2022/12/30, 17, 5, 3
2022/12/31, 14, 9, 4
2023/1/1, 28, 7, 6
2022/7/1, 26, 18, 12
2022/7/2, 37, 12, 8
2022/7/3, 24, 15, 10
2022/7/4, 22, 16, 11
2022/7/5, 22, 7, 5
2022/7/6, 13, 8, 6
2022/7/7, 16, 9, 5
2022/7/8, 18, 9, 2
2022/7/9, 20, 10, 4
2022/7/10, 24, 15, 6
2022/7/11, 26, 14, 7
2022/7/12, 25, 13, 9
2022/7/13, 22, 12, 6
2022/7/14, 25, 5, 3
2022/7/15, 13, 6, 3
2022/7/16, 16, 4, 4
2022/7/17, 16, 9, 6
2022/7/18, 19, 16, 7
2022/7/19, 24, 14, 9
2022/7/20, 23, 14, 10
2022/7/21, 27, 7, 7
2022/7/22, 18, 5, 2
2022/7/23, 16, 5, 2
2022/7/24, 14, 12, 11
2022/7/25, 21, 13, 10
2022/7/26, 23, 5, 7
2022/7/27, 18, 8, 7
2022/7/28, 22, 12, 7
2022/7/29, 19, 9, 8
2022/7/30, 17, 13, 13
2022/7/31, 25, 15, 8
2022/8/1, 27, 10, 8
2022/8/2, 20, 12, 9
2022/8/3, 20, 10, 7
2022/8/4, 21, 9, 6
2022/8/5, 18, 6, 6
2022/8/6, 18, 7, 7
2022/8/7, 20, 9, 8
2022/8/8, 20, 19, 6
2022/8/9, 32, 14, 8
2022/8/10, 19, 10, 3
2022/8/11, 26, 8, 5
2022/8/12, 24, 11, 5
2022/8/13, 20, 12, 5
2022/8/14, 24, 19, 10
2022/8/15, 29, 30, 17
2022/8/16, 44, 12, 9
2022/8/17, 25, 14, 8
2022/8/18, 22, 23, 17
2022/8/19, 31, 16, 17
2022/8/20, 37, 10, 12
2022/8/21, 30, 11, 11
2022/8/22, 22, 10, 4
2022/8/23, 22, 14, 10
2022/8/24, 21, 17, 13
2022/8/25, 27, 22, 11
2022/8/26, 29, 6, 9
2022/8/27, 16, 5, 6
2022/8/28, 19, 12, 8
2022/8/29, 20, 10, 10
2022/8/30, 17, 10, 7
2022/8/31, 17, 11, 5
2022/9/1, 16, 12, 5
2022/9/2, 18, 5, 3
2022/9/3, 15, 7, 4
2022/9/4, 19, 8, 9
2022/9/5, 16, 7, 10
2022/9/6, 19, 12, 9
2022/9/7, 27, 13, 10
2022/9/8, 10, 9, 8
2022/9/9, 9, 8, 5
2022/9/10, 10, 4, 5
2022/9/11, 8, 14, 7
2022/9/12, 11, 14, 7
2022/9/13, 13, 11, 4
2022/9/14, 12, 9, 6
2022/9/15, 14, 9, 3
2022/9/16, 15, 7, 2
2022/9/17, 14, 7, 3
2022/9/18, 18, 10, 4
2022/9/19, 18, 14, 10
2022/9/20, 20, 8, 5
2022/9/21, 18, 21, 11
2022/9/22, 23, 11, 12
2022/9/23, 20, 5, 8
2022/9/24, 22, 6, 9
2022/9/25, 17, 12, 5
2022/9/26, 48, 17, 13
2022/9/27, 298, 24, 19
2022/9/28, 199, 25, 18
2022/9/29, 13, 17, 15
2022/9/30, 14, , 11
2022/4/1, 44, 5, 11
2022/4/2, 35, 7, 8
2022/4/3, 23, 43, 13
2022/4/4, 13, 33, 3
2022/4/5, 8, 6, 2
2022/4/6, 15, 10, 11
2022/4/7, 26, 18, 11
2022/4/8, 18, 7, 7
2022/4/9, 12, 14, 4
2022/4/10, 20, 11, 6
2022/4/11, 25, 11, 9
2022/4/12, 22, 46, 9
2022/4/13, 24, 12, 3
2022/4/14, 16, 42, 5
2022/4/15, 25, 21, 3
2022/4/16, 18, 6, 3
2022/4/17, 21, 16, 5
2022/4/18, 23, 63, 18
2022/4/19, 34, 50, 12
2022/4/20, 31, 21, 13
2022/4/21, 24, 8, 11
2022/4/22, 19, 37, 6
2022/4/23, 22, 17, 8
2022/4/24, 17, 6, 10
2022/4/25, 76, 6, 6
2022/4/26, 169, 6, 8
2022/4/27, 3, 7, 8
2022/4/28, 10, 6, 10
2022/4/29, 13, 6, 7
2022/4/30, 14, 5, 5
2022/5/1, 11, 7, 11
2022/5/2, 18, 9, 7
2022/5/3, 19, 7, 9
2022/5/4, 19, 28, 11
2022/5/5, 20, 8, 7
2022/5/6, 19, , 
2022/5/8, 22, 6, 7
2022/5/9, 15, 4, 8
2022/5/10, 15, 8, 14
2022/5/11, 20, 5, 8
2022/5/12, 17, 50, 7
2022/5/13, 25, 49, 5
2022/5/14, 26, 6, 4
2022/5/15, 20, 8, 5
2022/5/16, 23, 5, 5
2022/5/17, 16, 21, 6
2022/5/18, 19, 60, 7
2022/5/19, 27, 41, 12
2022/5/20, 26, 18, 9
2022/5/21, 22, 22, 10
2022/5/22, 22, 36, 16
2022/5/23, 29, 50, 16
2022/5/24, 35, 50, 16
2022/5/25, 39, 27, 13
2022/5/26, 35, 34, 9
2022/5/27, 31, 13, 3
2022/5/28, 24, 18, 5
2022/5/29, 28, 32, 11
2022/5/30, 37, 52, 13
2022/5/31, 53, 36, 11
2022/6/1, 40, 25, 9
2022/6/2, 26, 27, 11
2022/6/3, 26, 11, 4
2022/6/4, 21, 9, 2
2022/6/5, 18, 17, 2
2022/6/6, 20, 13, 3
2022/6/7, 19, 16, 4
2022/6/8, 21, 12, 6
2022/6/9, 21, 12, 5
2022/6/10, 18, 11, 6
2022/6/11, 21, 12, 5
2022/6/12, 20, 26, 12
2022/6/13, 28, 18, 7
2022/6/14, 29, 16, 8
2022/6/15, 23, 21, 9
2022/6/16, 25, 21, 7
2022/6/17, 25, 18, 4
2022/6/18, 23, 19, 4
2022/6/19, 38, 19, 8
2022/6/20, 25, 12, 8
2022/6/21, 21, 11, 5
2022/6/22, 16, 20, 5
2022/6/23, 28, 17, 5
2022/6/24, 32, 14, 3
2022/6/25, 28, 15, 6
2022/6/26, 31, 32, 14
2022/6/27, 46, 39, 17
2022/6/28, 54, 30, 10
2022/6/29, 44, 12, 4
2022/6/30, 13, 18, 8
2022/1/3, 18, 7, 11
2022/1/4, 20, 9, 15
2022/1/5, 25, 12, 20
2022/1/6, 36, 5, 9
2022/1/7, 16, 5, 8
2022/1/8, 18, 13, 19
2022/1/9, 43, 13, 22
2022/1/10, 38, 4, 7
2022/1/11, 12, 6, 5
2022/1/12, 13, 10, 5
2022/1/13, 16, 10, 
2022/1/20, 104, 11, 
2022/1/21, 62, 4, 
2022/1/22, 13, 8, 
2022/1/23, 18, 10, 
2022/1/24, 23, 8, 
2022/1/25, 21, 8, 
2022/1/26, 26, 6, 
2022/1/27, 19, 6, 
2022/1/28, 20, 10, 
2022/1/29, 27, 9, 
2022/1/30, 27, 5, 
2022/1/31, 15, 11, 
2022/2/1, 31, 16, 
2022/2/2, 42, 12, 
2022/2/3, 36, 7, 
2022/2/4, 18, 7, 
2022/2/5, 23, 7, 
